Term,sum_sq,df,F,PR(>F)
Sex,1070.737,1.0,19.853,8.54e-06
AgeGroup,3088.39,3.0,19.087,2.63e-12
Sex:AgeGroup,217.613,3.0,1.345,2.58e-01
Residual,278677.432,5167.0,,
